fitness;overlaps
1.0;0
1.0;5
1.0;3
1.3333333333333333;2
1.5;1
1.0;0
1.0;1
1.0;1
1.0;0
1.0;0
0.3333333333333333;2
1.0;0
1.0;1
1.3333333333333333;2
1.0;1
1.0;1
1.4285714285714286;6
1.5;1
1.3333333333333333;2
1.0;0
1.0;1
1.0;1
1.0;1
1.0;5
1.5;1
1.5;1
1.5;1
1.5;1
1.0;3
1.0;1
1.5;1
1.0;0
1.0;0
0.6666666666666666;2
2.0;0
1.0;1
1.0;3
1.3333333333333333;2
1.0;1
0.6666666666666666;2
1.0;1
1.0;1
0.6666666666666666;2
1.0;0
1.5;1
1.0;3
1.0;1
1.5;1
1.0;0
0.5;5
4.0;0
1.0;0
1.0;1
1.5;1
0.5;1
0.5;3
1.0;0
1.0;0
1.0;3
1.0;1
1.3333333333333333;2
1.5;1
1.0;3
1.0;0
1.4285714285714286;6
1.0;1
0.0;0
1.0;0
1.0;1
1.0;0
0.5;1
1.0;0
1.0;1
0.3333333333333333;2
1.0;1
1.0;1
1.0;3
1.5;1
0.5;5
1.0;0
1.0;1
0.8333333333333334;5
1.0;1
0.5;1
1.6666666666666667;2
1.0;1
0.7142857142857143;6
1.5;1
1.5;1
1.0;1
1.0;0
1.4285714285714286;6
4.0;0
1.0;0
1.3333333333333333;2
1.0;0
1.0;3
1.0;1
1.0;2
1.6666666666666667;2
1.0;2
1.5;1
1.0;1
1.0;0
0.8;4
1.5;1
1.6666666666666667;2
1.5;1
1.5;1
1.0;1
1.5;1
1.0;0
1.5;1
1.0;0
1.0;1
1.0;4
1.0;2
1.0;0
1.0;1
1.3333333333333333;2
1.4285714285714286;6
1.5;1
0.6666666666666666;2
1.5;1
1.0;1
1.0;0
2.0;0
1.5;1
1.0;1
1.0;1
1.0;0
1.0;3
1.0;5
0.8333333333333334;5
0.0;0
1.0;0
1.0;1
0.6666666666666666;2
0.6666666666666666;2
1.0;0
1.0;0
1.0;2
1.3333333333333333;2
1.0;1
1.5;1
1.0;2
1.5;1
1.5;1
1.0;5
0.7142857142857143;6
1.0;3
1.5;1
0.6666666666666666;2
0.6666666666666666;5
1.0;1
1.0;5
1.0;2
1.4285714285714286;6
1.0;0
1.5;1
1.3333333333333333;2
1.0;0
1.0;2
1.0;0
0.0;0
1.0;0
1.5;1
1.0;0
1.5;1
1.0;0
1.5;1
0.5;1
1.0;0
1.0;4
1.0;1
1.3333333333333333;2
0.8;4
1.0;2
0.6666666666666666;2
1.0;0
1.0;3
1.0;0
1.5;1
1.5;1
1.0;0
1.0;1
1.0;2
1.0;0
1.0;0
1.0;0
1.0;0
1.0;0
1.0;1
1.0;3
0.25;3
1.0;1
1.0;0
1.0;0
1.0;2
1.0;0
